pair_id,instruction,original_image,edited_image,image_similarity,label,notes
00011,"Brighten the image","pico_banana_dataset/images/org/0199bc3e1db115d0.jpg",sample_images/edited/good/sample1_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00012,"Rotate the image","pico_banana_dataset/images/org/056b813c61869a61.jpg",sample_images/edited/bad/sample2_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00013,"Brighten the image","pico_banana_dataset/images/org/0bc9342cba0a3088.jpg",sample_images/edited/good/sample3_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00014,"Rotate the image","pico_banana_dataset/images/org/13ac71f3f9be39b1.jpg",sample_images/edited/bad/sample4_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00015,"Brighten the image","pico_banana_dataset/images/org/227ec002dd50286f.jpg",sample_images/edited/good/sample5_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00016,"Rotate the image","pico_banana_dataset/images/org/249086e72671397d.jpg",sample_images/edited/bad/sample6_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00017,"Brighten the image","pico_banana_dataset/images/org/3c2fad96113ca97e.jpg",sample_images/edited/good/sample7_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00018,"Rotate the image","pico_banana_dataset/images/org/4ce684871c147d4c.jpg",sample_images/edited/bad/sample8_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00019,"Brighten the image","pico_banana_dataset/images/org/4f03a79f647f9883.jpg",sample_images/edited/good/sample9_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00020,"Rotate the image","pico_banana_dataset/images/org/4fa8054781a4c382.jpg",sample_images/edited/bad/sample10_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00021,"Brighten the image","pico_banana_dataset/images/org/51c5d8d5d9cd87ca.jpg",sample_images/edited/good/sample11_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00022,"Rotate the image","pico_banana_dataset/images/org/63ed20ef9abd046c.jpg",sample_images/edited/bad/sample12_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00023,"Brighten the image","pico_banana_dataset/images/org/6642993a76366217.jpg",sample_images/edited/good/sample13_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00024,"Rotate the image","pico_banana_dataset/images/org/6d03c35a6ff2c268.jpg",sample_images/edited/bad/sample14_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00025,"Brighten the image","pico_banana_dataset/images/org/6e25a4e7f2da24e6.jpg",sample_images/edited/good/sample15_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00026,"Rotate the image","pico_banana_dataset/images/org/7e8584b0f487cb9e.jpg",sample_images/edited/bad/sample16_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00027,"Brighten the image","pico_banana_dataset/images/org/7f7beb2c459f3420.jpg",sample_images/edited/good/sample17_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00028,"Rotate the image","pico_banana_dataset/images/org/82af8aeb62a3e757.jpg",sample_images/edited/bad/sample18_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00029,"Brighten the image","pico_banana_dataset/images/org/86638230febe21c4.jpg",sample_images/edited/good/sample19_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00030,"Rotate the image","pico_banana_dataset/images/org/8cbfd00eecc16846.jpg",sample_images/edited/bad/sample20_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00031,"Brighten the image","pico_banana_dataset/images/org/8d0cbf68276262bb.jpg",sample_images/edited/good/sample21_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00032,"Rotate the image","pico_banana_dataset/images/org/af2d5315e4ce8db3.jpg",sample_images/edited/bad/sample22_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00033,"Brighten the image","pico_banana_dataset/images/org/b0813c5f9be81380.jpg",sample_images/edited/good/sample23_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00034,"Rotate the image","pico_banana_dataset/images/org/b37f763ae67d0888.jpg",sample_images/edited/bad/sample24_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00035,"Brighten the image","pico_banana_dataset/images/org/c9e409f562248252.jpg",sample_images/edited/good/sample25_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00026,"Rotate the image",sample_images/original/sample26.jpg,sample_images/edited/bad/sample26_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00027,"Brighten the image",sample_images/original/sample27.jpg,sample_images/edited/good/sample27_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00028,"Rotate the image",sample_images/original/sample28.jpg,sample_images/edited/bad/sample28_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00029,"Brighten the image",sample_images/original/sample29.jpg,sample_images/edited/good/sample29_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00030,"Rotate the image",sample_images/original/sample30.jpg,sample_images/edited/bad/sample30_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00031,"Brighten the image",sample_images/original/sample31.jpg,sample_images/edited/good/sample31_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00032,"Rotate the image",sample_images/original/sample32.jpg,sample_images/edited/bad/sample32_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00033,"Brighten the image",sample_images/original/sample33.jpg,sample_images/edited/good/sample33_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00034,"Rotate the image",sample_images/original/sample34.jpg,sample_images/edited/bad/sample34_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00035,"Brighten the image",sample_images/original/sample35.jpg,sample_images/edited/good/sample35_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00036,"Rotate the image",sample_images/original/sample36.jpg,sample_images/edited/bad/sample36_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00037,"Brighten the image",sample_images/original/sample37.jpg,sample_images/edited/good/sample37_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00038,"Rotate the image",sample_images/original/sample38.jpg,sample_images/edited/bad/sample38_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00039,"Brighten the image",sample_images/original/sample39.jpg,sample_images/edited/good/sample39_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00040,"Rotate the image",sample_images/original/sample40.jpg,sample_images/edited/bad/sample40_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00041,"Brighten the image",sample_images/original/sample41.jpg,sample_images/edited/good/sample41_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00042,"Rotate the image",sample_images/original/sample42.jpg,sample_images/edited/bad/sample42_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00043,"Brighten the image",sample_images/original/sample43.jpg,sample_images/edited/good/sample43_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00044,"Rotate the image",sample_images/original/sample44.jpg,sample_images/edited/bad/sample44_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00045,"Brighten the image",sample_images/original/sample45.jpg,sample_images/edited/good/sample45_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00046,"Rotate the image",sample_images/original/sample46.jpg,sample_images/edited/bad/sample46_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00047,"Brighten the image",sample_images/original/sample47.jpg,sample_images/edited/good/sample47_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00048,"Rotate the image",sample_images/original/sample48.jpg,sample_images/edited/bad/sample48_edited.jpg,0.3,0,"Rotated image badly, poor edit."
00049,"Brighten the image",sample_images/original/sample49.jpg,sample_images/edited/good/sample49_edited.jpg,0.9,1,"Edited by increasing brightness successfully"
00050,"Rotate the image",sample_images/original/sample50.jpg,sample_images/edited/bad/sample50_edited.jpg,0.3,0,"Rotated image badly, poor edit."
